MinRange,MaxRange,Er,Ee,ErEc,EeEc,EispEr,WispEe
0,999.99,0,0,0,0,0,0
1000,4249.99,380,180,10,    ,    ,    
"4,250","4,749.99",427.5,202.5,10,    ,    ,    
"4,750","5,249.99",475,225,10,    ,    ,    
"5,250","5,749.99",522.5,247.5,10,    ,    ,    
"5,750","6,249.99",570,270,10,    ,    ,    
"6,250","6,749.99",617.5,292.5,10,    ,    ,    
"6,750","7,249.99",665,315,10,    ,    ,    
"7,250","7,749.99",712.5,337.5,10,    ,    ,    
"7,750","8,249.99",760,360,10,    ,    ,    
"8,250","8,749.99",807.5,382.5,10,    ,    ,    
"8,750","9,249.99",855,405,10,    ,    ,    
"9,250","9,749.99",902.5,427.5,10,    ,    ,    
"9,750","10,249.99",950,450,10,    ,    ,    
"10,250","10,749.99",997.5,472.5,10,    ,    ,    
"10,750","11,249.99","1,045.00",495,10,    ,    ,    
"11,250","11,749.99","1,092.50",517.5,10,    ,    ,    
"11,750","12,249.99","1,140.00",540,10,    ,    ,    
"12,250","12,749.99","1,187.50",562.5,10,    ,    ,    
"12,750","13,249.99","1,235.00",585,10,    ,    ,    
"13,250","13,749.99","1,282.50",607.5,10,    ,    ,    
"13,750","14,249.99","1,330.00",630,10,    ,    ,    
"14,250","14,749.99","1,377.50",652.5,10,    ,    ,    
"14,750","15,249.99","1,425.00",675,30,    ,    ,    
"15,250","15,749.99","1,472.50",697.5,30,    ,    ,    
"15,750","16,249.99","1,520.00",720,30,    ,    ,    
"16,250","16,749.99","1,567.50",742.5,30,    ,    ,    
"16,750","17,249.99","1,615.00",765,30,    ,    ,    
"17,250","17,749.99","1,662.50",787.5,30,    ,    ,    
"17,750","18,249.99","1,710.00",810,30,    ,    ,    
"18,250","18,749.99","1,757.50",832.5,30,    ,    ,    
"18,750","19,249.99","1,805.00",855,30,    ,    ,    
"19,250","19,749.99","1,852.50",877.5,30,    ,    ,    
"19,750","20,249.99","1,900.00",900,30,    ,    ,    
"20,250","20,749.99","1,900.00",900,30,    ,47.5,22.5
"20,750","21,249.99","1,900.00",900,30,    ,95,45
"21,250","21,749.99","1,900.00",900,30,    ,142.5,67.5
"21,750","22,249.99","1,900.00",900,30,    ,190,90
"22,250","22,749.99","1,900.00",900,30,    ,237.5,112.5
"22,750","23,249.99","1,900.00",900,30,    ,285,135
"23,250","23,749.99","1,900.00",900,30,    ,332.5,157.5
"23,750","24,249.99","1,900.00",900,30,    ,380,180
"24,250","24,749.99","1,900.00",900,30,    ,427.5,202.5
"24,750","25,249.99","1,900.00",900,30,    ,475,225
"25,250","25,749.99","1,900.00",900,30,    ,522.5,247.5
"25,750","26,249.99","1,900.00",900,30,    ,570,270
"26,250","26,749.99","1,900.00",900,30,    ,617.5,292.5
"26,750","27,249.99","1,900.00",900,30,    ,665,315
"27,250","27,749.99","1,900.00",900,30,    ,712.5,337.5
"27,750","28,249.99","1,900.00",900,30,    ,760,360
"28,250","28,749.99","1,900.00",900,30,    ,807.5,382.5
"28,750","29,249.99","1,900.00",900,30,    ,855,405
"29,250","29,749.99","1,900.00",900,30,    ,902.5,427.5
"29,750","9,999,999.99","1,900.00",900,30,    ,950,450
